match_id,team,name,battingStyle,bowlingStyle,playingRole,team1,team2,matchDate,stage,image,description
"T20I # 1871",Netherlands,"Bas de Leede","Right hand Bat","Right arm Fast medium","Batting Allrounder",Netherlands,"South Africa","2022-11-06 00:00:00","Super 12",,
"T20I # 1859",Netherlands,"Bas de Leede","Right hand Bat","Right arm Fast medium","Batting Allrounder",Netherlands,Zimbabwe,"2022-11-02 00:00:00","Super 12",,
"T20I # 1852",Netherlands,"Bas de Leede","Right hand Bat","Right arm Fast medium","Batting Allrounder",Netherlands,Pakistan,"2022-10-30 00:00:00","Super 12",,
"T20I # 1848",Netherlands,"Bas de Leede","Right hand Bat","Right arm Fast medium","Batting Allrounder",India,Netherlands,"2022-10-27 00:00:00","Super 12",,
"T20I # 1843",Netherlands,"Bas de Leede","Right hand Bat","Right arm Fast medium","Batting Allrounder",Bangladesh,Netherlands,"2022-10-24 00:00:00","Super 12",,
"T20I # 1835",Netherlands,"Bas de Leede","Right hand Bat","Right arm Fast medium","Batting Allrounder",Netherlands,"Sri Lanka","2022-10-20 00:00:00",Qualifier,,
"T20I # 1830",Netherlands,"Bas de Leede","Right hand Bat","Right arm Fast medium","Batting Allrounder",Namibia,Netherlands,"2022-10-18 00:00:00",Qualifier,,
"T20I # 1825",Netherlands,"Bas de Leede","Right hand Bat","Right arm Fast medium","Batting Allrounder",Netherlands,U.A.E.,"2022-10-16 00:00:00",Qualifier,,
"T20I # 1836",U.A.E.,"Basil Hameed","Right hand Bat","Right arm Offbreak","Middle order Batter",Namibia,U.A.E.,"2022-10-20 00:00:00",Qualifier,,
"T20I # 1832",U.A.E.,"Basil Hameed","Right hand Bat","Right arm Offbreak","Middle order Batter","Sri Lanka",U.A.E.,"2022-10-18 00:00:00",Qualifier,,
"T20I # 1825",U.A.E.,"Basil Hameed","Right hand Bat","Right arm Offbreak","Middle order Batter",Netherlands,U.A.E.,"2022-10-16 00:00:00",Qualifier,,
"T20I # 1836",Namibia,"Ben Shikongo","Right hand Bat","Right arm Medium fast",Bowler,Namibia,U.A.E.,"2022-10-20 00:00:00",Qualifier,,
"T20I # 1830",Namibia,"Ben Shikongo","Right hand Bat","Right arm Medium fast",Bowler,Namibia,Netherlands,"2022-10-18 00:00:00",Qualifier,,
"T20I # 1823",Namibia,"Ben Shikongo","Right hand Bat","Right arm Medium fast",Bowler,Namibia,"Sri Lanka","2022-10-16 00:00:00",Qualifier,,
"T20I # 1879",England,"Ben Stokes","Left hand Bat","Right arm Fast medium",Allrounder,England,Pakistan,"2022-11-13 00:00:00","Super 12","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319748.png","The great Irish sports writer Con Houlihan used to say that every team should have a redhead. And it's true that Ben Stokes' combative nature, allied to his powerful frame and outrageous talent, lifted England to another level. Never was that more true than when he secured his place in English cricket history with an indefatigable batting display in the 2019 World Cup final. In making an unbeaten 84 he exhausted every ounce of strength, talent and willpower and then when he imagined it might be all over he came out to bat once more to help win a Super Over by the narrowest of margins."
"T20I # 1878",England,"Ben Stokes","Left hand Bat","Right arm Fast medium",Allrounder,England,India,"2022-11-10 00:00:00","Super 12","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319748.png","The great Irish sports writer Con Houlihan used to say that every team should have a redhead. And it's true that Ben Stokes' combative nature, allied to his powerful frame and outrageous talent, lifted England to another level. Never was that more true than when he secured his place in English cricket history with an indefatigable batting display in the 2019 World Cup final. In making an unbeaten 84 he exhausted every ounce of strength, talent and willpower and then when he imagined it might be all over he came out to bat once more to help win a Super Over by the narrowest of margins."
"T20I # 1867",England,"Ben Stokes","Left hand Bat","Right arm Fast medium",Allrounder,England,"Sri Lanka","2022-11-05 00:00:00","Super 12","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319748.png","The great Irish sports writer Con Houlihan used to say that every team should have a redhead. And it's true that Ben Stokes' combative nature, allied to his powerful frame and outrageous talent, lifted England to another level. Never was that more true than when he secured his place in English cricket history with an indefatigable batting display in the 2019 World Cup final. In making an unbeaten 84 he exhausted every ounce of strength, talent and willpower and then when he imagined it might be all over he came out to bat once more to help win a Super Over by the narrowest of margins."
"T20I # 1858",England,"Ben Stokes","Left hand Bat","Right arm Fast medium",Allrounder,England,"New Zealand","2022-11-01 00:00:00","Super 12","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319748.png","The great Irish sports writer Con Houlihan used to say that every team should have a redhead. And it's true that Ben Stokes' combative nature, allied to his powerful frame and outrageous talent, lifted England to another level. Never was that more true than when he secured his place in English cricket history with an indefatigable batting display in the 2019 World Cup final. In making an unbeaten 84 he exhausted every ounce of strength, talent and willpower and then when he imagined it might be all over he came out to bat once more to help win a Super Over by the narrowest of margins."
"T20I # 1849b",England,"Ben Stokes","Left hand Bat","Right arm Fast medium",Allrounder,Australia,England,"2022-10-28 00:00:00","Super 12","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319748.png","The great Irish sports writer Con Houlihan used to say that every team should have a redhead. And it's true that Ben Stokes' combative nature, allied to his powerful frame and outrageous talent, lifted England to another level. Never was that more true than when he secured his place in English cricket history with an indefatigable batting display in the 2019 World Cup final. In making an unbeaten 84 he exhausted every ounce of strength, talent and willpower and then when he imagined it might be all over he came out to bat once more to help win a Super Over by the narrowest of margins."
"T20I # 1846",England,"Ben Stokes","Left hand Bat","Right arm Fast medium",Allrounder,England,Ireland,"2022-10-26 00:00:00","Super 12","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319748.png","The great Irish sports writer Con Houlihan used to say that every team should have a redhead. And it's true that Ben Stokes' combative nature, allied to his powerful frame and outrageous talent, lifted England to another level. Never was that more true than when he secured his place in English cricket history with an indefatigable batting display in the 2019 World Cup final. In making an unbeaten 84 he exhausted every ounce of strength, talent and willpower and then when he imagined it might be all over he came out to bat once more to help win a Super Over by the narrowest of margins."
"T20I # 1840",England,"Ben Stokes","Left hand Bat","Right arm Fast medium",Allrounder,Afghanistan,England,"2022-10-22 00:00:00","Super 12","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319748.png","The great Irish sports writer Con Houlihan used to say that every team should have a redhead. And it's true that Ben Stokes' combative nature, allied to his powerful frame and outrageous talent, lifted England to another level. Never was that more true than when he secured his place in English cricket history with an indefatigable batting display in the 2019 World Cup final. In making an unbeaten 84 he exhausted every ounce of strength, talent and willpower and then when he imagined it might be all over he came out to bat once more to help win a Super Over by the narrowest of margins."
"T20I # 1836",Namibia,"Bernard Scholtz","Right hand Bat","Slow Left arm Orthodox",Bowler,Namibia,U.A.E.,"2022-10-20 00:00:00",Qualifier,,"Bernard Scholtz's brother Nicolaas is currently playing for the national side, but Bernard has his chance to impress at the forthcoming Under-19 World Cup in Malaysia. His aim, he says, is "to compete against the top teams of the world and get exposure to a higher level of cricket"". And that goal moved a step closer in 2008 when he was named in the squad to face Bermuda in the Intercontinental Cup. He has represented Namibia A and is interested in becoming an engineer. Will Luke August 2008""
"T20I # 1830",Namibia,"Bernard Scholtz","Right hand Bat","Slow Left arm Orthodox",Bowler,Namibia,Netherlands,"2022-10-18 00:00:00",Qualifier,,"Bernard Scholtz's brother Nicolaas is currently playing for the national side, but Bernard has his chance to impress at the forthcoming Under-19 World Cup in Malaysia. His aim, he says, is "to compete against the top teams of the world and get exposure to a higher level of cricket"". And that goal moved a step closer in 2008 when he was named in the squad to face Bermuda in the Intercontinental Cup. He has represented Namibia A and is interested in becoming an engineer. Will Luke August 2008""
"T20I # 1823",Namibia,"Bernard Scholtz","Right hand Bat","Slow Left arm Orthodox",Bowler,Namibia,"Sri Lanka","2022-10-16 00:00:00",Qualifier,,"Bernard Scholtz's brother Nicolaas is currently playing for the national side, but Bernard has his chance to impress at the forthcoming Under-19 World Cup in Malaysia. His aim, he says, is "to compete against the top teams of the world and get exposure to a higher level of cricket"". And that goal moved a step closer in 2008 when he was named in the squad to face Bermuda in the Intercontinental Cup. He has represented Namibia A and is interested in becoming an engineer. Will Luke August 2008""
"T20I # 1867","Sri Lanka","Bhanuka Rajapaksa","Left hand Bat","Right arm Medium","Top order Batter",England,"Sri Lanka","2022-11-05 00:00:00","Super 12",,"An attacking left-handed batsman, Bhanuka Rajapaksa was selected for the 2010 Under-19 World Cup in New Zealand as one of the team's key batsmen. He lived upto his reputation, by finishing the leading run-scorer for his country with 253 runs. He had an excellent tour of Australia with the U-19 team in 2009, smashing 154 off 111 balls in a one-dayer and ended the series as the leading run-getter. He compares his batting style to Adam Gilchrist. His other sporting interests include squash and swimming.  Cricinfo Staff January 2010"
"T20I # 1856","Sri Lanka","Bhanuka Rajapaksa","Left hand Bat","Right arm Medium","Top order Batter",Afghanistan,"Sri Lanka","2022-11-01 00:00:00","Super 12",,"An attacking left-handed batsman, Bhanuka Rajapaksa was selected for the 2010 Under-19 World Cup in New Zealand as one of the team's key batsmen. He lived upto his reputation, by finishing the leading run-scorer for his country with 253 runs. He had an excellent tour of Australia with the U-19 team in 2009, smashing 154 off 111 balls in a one-dayer and ended the series as the leading run-getter. He compares his batting style to Adam Gilchrist. His other sporting interests include squash and swimming.  Cricinfo Staff January 2010"
"T20I # 1850","Sri Lanka","Bhanuka Rajapaksa","Left hand Bat","Right arm Medium","Top order Batter","New Zealand","Sri Lanka","2022-10-29 00:00:00","Super 12",,"An attacking left-handed batsman, Bhanuka Rajapaksa was selected for the 2010 Under-19 World Cup in New Zealand as one of the team's key batsmen. He lived upto his reputation, by finishing the leading run-scorer for his country with 253 runs. He had an excellent tour of Australia with the U-19 team in 2009, smashing 154 off 111 balls in a one-dayer and ended the series as the leading run-getter. He compares his batting style to Adam Gilchrist. His other sporting interests include squash and swimming.  Cricinfo Staff January 2010"
"T20I # 1845","Sri Lanka","Bhanuka Rajapaksa","Left hand Bat","Right arm Medium","Top order Batter",Australia,"Sri Lanka","2022-10-25 00:00:00","Super 12",,"An attacking left-handed batsman, Bhanuka Rajapaksa was selected for the 2010 Under-19 World Cup in New Zealand as one of the team's key batsmen. He lived upto his reputation, by finishing the leading run-scorer for his country with 253 runs. He had an excellent tour of Australia with the U-19 team in 2009, smashing 154 off 111 balls in a one-dayer and ended the series as the leading run-getter. He compares his batting style to Adam Gilchrist. His other sporting interests include squash and swimming.  Cricinfo Staff January 2010"
"T20I # 1841","Sri Lanka","Bhanuka Rajapaksa","Left hand Bat","Right arm Medium","Top order Batter",Ireland,"Sri Lanka","2022-10-23 00:00:00","Super 12",,"An attacking left-handed batsman, Bhanuka Rajapaksa was selected for the 2010 Under-19 World Cup in New Zealand as one of the team's key batsmen. He lived upto his reputation, by finishing the leading run-scorer for his country with 253 runs. He had an excellent tour of Australia with the U-19 team in 2009, smashing 154 off 111 balls in a one-dayer and ended the series as the leading run-getter. He compares his batting style to Adam Gilchrist. His other sporting interests include squash and swimming.  Cricinfo Staff January 2010"
"T20I # 1835","Sri Lanka","Bhanuka Rajapaksa","Left hand Bat","Right arm Medium","Top order Batter",Netherlands,"Sri Lanka","2022-10-20 00:00:00",Qualifier,,"An attacking left-handed batsman, Bhanuka Rajapaksa was selected for the 2010 Under-19 World Cup in New Zealand as one of the team's key batsmen. He lived upto his reputation, by finishing the leading run-scorer for his country with 253 runs. He had an excellent tour of Australia with the U-19 team in 2009, smashing 154 off 111 balls in a one-dayer and ended the series as the leading run-getter. He compares his batting style to Adam Gilchrist. His other sporting interests include squash and swimming.  Cricinfo Staff January 2010"
"T20I # 1832","Sri Lanka","Bhanuka Rajapaksa","Left hand Bat","Right arm Medium","Top order Batter","Sri Lanka",U.A.E.,"2022-10-18 00:00:00",Qualifier,,"An attacking left-handed batsman, Bhanuka Rajapaksa was selected for the 2010 Under-19 World Cup in New Zealand as one of the team's key batsmen. He lived upto his reputation, by finishing the leading run-scorer for his country with 253 runs. He had an excellent tour of Australia with the U-19 team in 2009, smashing 154 off 111 balls in a one-dayer and ended the series as the leading run-getter. He compares his batting style to Adam Gilchrist. His other sporting interests include squash and swimming.  Cricinfo Staff January 2010"
"T20I # 1823","Sri Lanka","Bhanuka Rajapaksa","Left hand Bat","Right arm Medium","Top order Batter",Namibia,"Sri Lanka","2022-10-16 00:00:00",Qualifier,,"An attacking left-handed batsman, Bhanuka Rajapaksa was selected for the 2010 Under-19 World Cup in New Zealand as one of the team's key batsmen. He lived upto his reputation, by finishing the leading run-scorer for his country with 253 runs. He had an excellent tour of Australia with the U-19 team in 2009, smashing 154 off 111 balls in a one-dayer and ended the series as the leading run-getter. He compares his batting style to Adam Gilchrist. His other sporting interests include squash and swimming.  Cricinfo Staff January 2010"
"T20I # 1878",India,"Bhuvneshwar Kumar","Right hand Bat","Right arm Medium",Bowler,England,India,"2022-11-10 00:00:00","Super 12",,"At the time of his India debut in 2012, Bhuvneshwar Kumar seemed the answer to the side's fast-bowling scarcity; though middling in pace, he produced swing both ways and had a devastating inswinger. In his first T20I over, he bowled Nasir Jamshed; with his first ODI delivery, he bowled Mohammad Hafeez; and in his first Test series he played a part in India's first whitewash win in a four-Test series, against Australia in 2013.Ã‚Â "
"T20I # 1873",India,"Bhuvneshwar Kumar","Right hand Bat","Right arm Medium",Bowler,India,Zimbabwe,"2022-11-06 00:00:00","Super 12",,"At the time of his India debut in 2012, Bhuvneshwar Kumar seemed the answer to the side's fast-bowling scarcity; though middling in pace, he produced swing both ways and had a devastating inswinger. In his first T20I over, he bowled Nasir Jamshed; with his first ODI delivery, he bowled Mohammad Hafeez; and in his first Test series he played a part in India's first whitewash win in a four-Test series, against Australia in 2013.Ã‚Â "
"T20I # 1860",India,"Bhuvneshwar Kumar","Right hand Bat","Right arm Medium",Bowler,Bangladesh,India,"2022-11-02 00:00:00","Super 12",,"At the time of his India debut in 2012, Bhuvneshwar Kumar seemed the answer to the side's fast-bowling scarcity; though middling in pace, he produced swing both ways and had a devastating inswinger. In his first T20I over, he bowled Nasir Jamshed; with his first ODI delivery, he bowled Mohammad Hafeez; and in his first Test series he played a part in India's first whitewash win in a four-Test series, against Australia in 2013.Ã‚Â "
"T20I # 1853",India,"Bhuvneshwar Kumar","Right hand Bat","Right arm Medium",Bowler,India,"South Africa","2022-10-30 00:00:00","Super 12",,"At the time of his India debut in 2012, Bhuvneshwar Kumar seemed the answer to the side's fast-bowling scarcity; though middling in pace, he produced swing both ways and had a devastating inswinger. In his first T20I over, he bowled Nasir Jamshed; with his first ODI delivery, he bowled Mohammad Hafeez; and in his first Test series he played a part in India's first whitewash win in a four-Test series, against Australia in 2013.Ã‚Â "
"T20I # 1848",India,"Bhuvneshwar Kumar","Right hand Bat","Right arm Medium",Bowler,India,Netherlands,"2022-10-27 00:00:00","Super 12",,"At the time of his India debut in 2012, Bhuvneshwar Kumar seemed the answer to the side's fast-bowling scarcity; though middling in pace, he produced swing both ways and had a devastating inswinger. In his first T20I over, he bowled Nasir Jamshed; with his first ODI delivery, he bowled Mohammad Hafeez; and in his first Test series he played a part in India's first whitewash win in a four-Test series, against Australia in 2013.Ã‚Â "
"T20I # 1842",India,"Bhuvneshwar Kumar","Right hand Bat","Right arm Medium",Bowler,India,Pakistan,"2022-10-23 00:00:00","Super 12",,"At the time of his India debut in 2012, Bhuvneshwar Kumar seemed the answer to the side's fast-bowling scarcity; though middling in pace, he produced swing both ways and had a devastating inswinger. In his first T20I over, he bowled Nasir Jamshed; with his first ODI delivery, he bowled Mohammad Hafeez; and in his first Test series he played a part in India's first whitewash win in a four-Test series, against Australia in 2013.Ã‚Â "
"T20I # 1867","Sri Lanka","Binura Fernando","Right hand Bat","Left arm Medium fast",Bowler,England,"Sri Lanka","2022-11-05 00:00:00","Super 12",,"Known for his ability to generate awkward bounce from a height of 6'7""
"T20I # 1856","Sri Lanka","Binura Fernando","Right hand Bat","Left arm Medium fast",Bowler,Afghanistan,"Sri Lanka","2022-11-01 00:00:00","Super 12",,"Known for his ability to generate awkward bounce from a height of 6'7""
"T20I # 1850","Sri Lanka","Binura Fernando","Right hand Bat","Left arm Medium fast",Bowler,"New Zealand","Sri Lanka","2022-10-29 00:00:00","Super 12",,"Known for his ability to generate awkward bounce from a height of 6'7""
"T20I # 1845","Sri Lanka","Binura Fernando","Right hand Bat","Left arm Medium fast",Bowler,Australia,"Sri Lanka","2022-10-25 00:00:00","Super 12",,"Known for his ability to generate awkward bounce from a height of 6'7""
"T20I # 1841","Sri Lanka","Binura Fernando","Right hand Bat","Left arm Medium fast",Bowler,Ireland,"Sri Lanka","2022-10-23 00:00:00","Super 12",,"Known for his ability to generate awkward bounce from a height of 6'7""
"T20I # 1835","Sri Lanka","Binura Fernando","Right hand Bat","Left arm Medium fast",Bowler,Netherlands,"Sri Lanka","2022-10-20 00:00:00",Qualifier,,"Known for his ability to generate awkward bounce from a height of 6'7""
"T20I # 1832","Sri Lanka","Binura Fernando","Right hand Bat","Left arm Medium fast",Bowler,"Sri Lanka",U.A.E.,"2022-10-18 00:00:00",Qualifier,,"Known for his ability to generate awkward bounce from a height of 6'7""
"T20I # 1823","Sri Lanka","Binura Fernando","Right hand Bat","Left arm Medium fast",Bowler,Namibia,"Sri Lanka","2022-10-16 00:00:00",Qualifier,,"Known for his ability to generate awkward bounce from a height of 6'7""
"T20I # 1873",Zimbabwe,"Blessing Muzarabani","Right hand Bat","Right arm Fast medium",Bowler,India,Zimbabwe,"2022-11-06 00:00:00","Super 12",,
"T20I # 1859",Zimbabwe,"Blessing Muzarabani","Right hand Bat","Right arm Fast medium",Bowler,Netherlands,Zimbabwe,"2022-11-02 00:00:00","Super 12",,
"T20I # 1851",Zimbabwe,"Blessing Muzarabani","Right hand Bat","Right arm Fast medium",Bowler,Bangladesh,Zimbabwe,"2022-10-30 00:00:00","Super 12",,
"T20I # 1849",Zimbabwe,"Blessing Muzarabani","Right hand Bat","Right arm Fast medium",Bowler,Pakistan,Zimbabwe,"2022-10-27 00:00:00","Super 12",,
"T20I # 1844",Zimbabwe,"Blessing Muzarabani","Right hand Bat","Right arm Fast medium",Bowler,"South Africa",Zimbabwe,"2022-10-24 00:00:00","Super 12",,
"T20I # 1838",Zimbabwe,"Blessing Muzarabani","Right hand Bat","Right arm Fast medium",Bowler,Scotland,Zimbabwe,"2022-10-21 00:00:00",Qualifier,,
"T20I # 1834",Zimbabwe,"Blessing Muzarabani","Right hand Bat","Right arm Fast medium",Bowler,"West Indies",Zimbabwe,"2022-10-19 00:00:00",Qualifier,,
"T20I # 1828",Zimbabwe,"Blessing Muzarabani","Right hand Bat","Right arm Fast medium",Bowler,Ireland,Zimbabwe,"2022-10-17 00:00:00",Qualifier,,
"T20I # 1873",Zimbabwe,"Brad Evans","Right hand Bat","Right arm Fast",Allrounder,India,Zimbabwe,"2022-11-06 00:00:00","Super 12",,
"T20I # 1859",Zimbabwe,"Brad Evans","Right hand Bat","Right arm Fast",Allrounder,Netherlands,Zimbabwe,"2022-11-02 00:00:00","Super 12",,
"T20I # 1851",Zimbabwe,"Brad Evans","Right hand Bat","Right arm Fast",Allrounder,Bangladesh,Zimbabwe,"2022-10-30 00:00:00","Super 12",,
"T20I # 1849",Zimbabwe,"Brad Evans","Right hand Bat","Right arm Fast",Allrounder,Pakistan,Zimbabwe,"2022-10-27 00:00:00","Super 12",,
"T20I # 1844",Zimbabwe,"Brad Evans","Right hand Bat","Right arm Fast",Allrounder,"South Africa",Zimbabwe,"2022-10-24 00:00:00","Super 12",,
"T20I # 1838",Zimbabwe,"Brad Evans","Right hand Bat","Right arm Fast",Allrounder,Scotland,Zimbabwe,"2022-10-21 00:00:00",Qualifier,,
"T20I # 1834",Zimbabwe,"Brad Evans","Right hand Bat","Right arm Fast",Allrounder,"West Indies",Zimbabwe,"2022-10-19 00:00:00",Qualifier,,
"T20I # 1828",Zimbabwe,"Brad Evans","Right hand Bat","Right arm Fast",Allrounder,Ireland,Zimbabwe,"2022-10-17 00:00:00",Qualifier,,
"T20I # 1838",Scotland,"Brad Wheal","Right hand Bat","Right arm Fast medium",Bowler,Scotland,Zimbabwe,"2022-10-21 00:00:00",Qualifier,,"Brad Wheal, a right-handed batsman and right-arm pace bowler, was born in Durban, South Africa but holds a British passport and moved to England with the encouragement of Hampshire's head coach at the time, Dale Benkenstein, who had spotted him playing for Natal Under-19."
"T20I # 1833",Scotland,"Brad Wheal","Right hand Bat","Right arm Fast medium",Bowler,Ireland,Scotland,"2022-10-19 00:00:00",Qualifier,,"Brad Wheal, a right-handed batsman and right-arm pace bowler, was born in Durban, South Africa but holds a British passport and moved to England with the encouragement of Hampshire's head coach at the time, Dale Benkenstein, who had spotted him playing for Natal Under-19."
"T20I # 1826",Scotland,"Brad Wheal","Right hand Bat","Right arm Fast medium",Bowler,Scotland,"West Indies","2022-10-17 00:00:00",Qualifier,,"Brad Wheal, a right-handed batsman and right-arm pace bowler, was born in Durban, South Africa but holds a British passport and moved to England with the encouragement of Hampshire's head coach at the time, Dale Benkenstein, who had spotted him playing for Natal Under-19."
"T20I # 1871",Netherlands,"Brandon Glover","Right hand Bat","Right arm Fast",Bowler,Netherlands,"South Africa","2022-11-06 00:00:00","Super 12",,"A Dutch-South African fast bowler, Brandon Glover left South Africa after a call from Netherlands coach Ryan Campbell, who convinced him to put his Dutch passport to good use after he had finished his accounting degree. He had played Under-19 cricket for South Africa, but was enticed by the opportunity to play regular international cricket, and starred at the T20 World Cup Qualifier in late 2019, bowling hard lengths into the pitch at high pace."
"T20I # 1859",Netherlands,"Brandon Glover","Right hand Bat","Right arm Fast",Bowler,Netherlands,Zimbabwe,"2022-11-02 00:00:00","Super 12",,"A Dutch-South African fast bowler, Brandon Glover left South Africa after a call from Netherlands coach Ryan Campbell, who convinced him to put his Dutch passport to good use after he had finished his accounting degree. He had played Under-19 cricket for South Africa, but was enticed by the opportunity to play regular international cricket, and starred at the T20 World Cup Qualifier in late 2019, bowling hard lengths into the pitch at high pace."
"T20I # 1852",Netherlands,"Brandon Glover","Right hand Bat","Right arm Fast",Bowler,Netherlands,Pakistan,"2022-10-30 00:00:00","Super 12",,"A Dutch-South African fast bowler, Brandon Glover left South Africa after a call from Netherlands coach Ryan Campbell, who convinced him to put his Dutch passport to good use after he had finished his accounting degree. He had played Under-19 cricket for South Africa, but was enticed by the opportunity to play regular international cricket, and starred at the T20 World Cup Qualifier in late 2019, bowling hard lengths into the pitch at high pace."
"T20I # 1848",Netherlands,"Brandon Glover","Right hand Bat","Right arm Fast",Bowler,India,Netherlands,"2022-10-27 00:00:00","Super 12",,"A Dutch-South African fast bowler, Brandon Glover left South Africa after a call from Netherlands coach Ryan Campbell, who convinced him to put his Dutch passport to good use after he had finished his accounting degree. He had played Under-19 cricket for South Africa, but was enticed by the opportunity to play regular international cricket, and starred at the T20 World Cup Qualifier in late 2019, bowling hard lengths into the pitch at high pace."
"T20I # 1843",Netherlands,"Brandon Glover","Right hand Bat","Right arm Fast",Bowler,Bangladesh,Netherlands,"2022-10-24 00:00:00","Super 12",,"A Dutch-South African fast bowler, Brandon Glover left South Africa after a call from Netherlands coach Ryan Campbell, who convinced him to put his Dutch passport to good use after he had finished his accounting degree. He had played Under-19 cricket for South Africa, but was enticed by the opportunity to play regular international cricket, and starred at the T20 World Cup Qualifier in late 2019, bowling hard lengths into the pitch at high pace."
"T20I # 1835",Netherlands,"Brandon Glover","Right hand Bat","Right arm Fast",Bowler,Netherlands,"Sri Lanka","2022-10-20 00:00:00",Qualifier,,"A Dutch-South African fast bowler, Brandon Glover left South Africa after a call from Netherlands coach Ryan Campbell, who convinced him to put his Dutch passport to good use after he had finished his accounting degree. He had played Under-19 cricket for South Africa, but was enticed by the opportunity to play regular international cricket, and starred at the T20 World Cup Qualifier in late 2019, bowling hard lengths into the pitch at high pace."
"T20I # 1830",Netherlands,"Brandon Glover","Right hand Bat","Right arm Fast",Bowler,Namibia,Netherlands,"2022-10-18 00:00:00",Qualifier,,"A Dutch-South African fast bowler, Brandon Glover left South Africa after a call from Netherlands coach Ryan Campbell, who convinced him to put his Dutch passport to good use after he had finished his accounting degree. He had played Under-19 cricket for South Africa, but was enticed by the opportunity to play regular international cricket, and starred at the T20 World Cup Qualifier in late 2019, bowling hard lengths into the pitch at high pace."
"T20I # 1825",Netherlands,"Brandon Glover","Right hand Bat","Right arm Fast",Bowler,Netherlands,U.A.E.,"2022-10-16 00:00:00",Qualifier,,"A Dutch-South African fast bowler, Brandon Glover left South Africa after a call from Netherlands coach Ryan Campbell, who convinced him to put his Dutch passport to good use after he had finished his accounting degree. He had played Under-19 cricket for South Africa, but was enticed by the opportunity to play regular international cricket, and starred at the T20 World Cup Qualifier in late 2019, bowling hard lengths into the pitch at high pace."
"T20I # 1837","West Indies","Brandon King","Right hand Bat",,"Top order Batter",Ireland,"West Indies","2022-10-21 00:00:00",Qualifier,,"Brandon King got his start as a solid middle-order batter for Jamaica before a promotion to the top order in the CPL unlocked his power-hitting potential, and culminated in a call-up to West Indies' white-ball side."
"T20I # 1834","West Indies","Brandon King","Right hand Bat",,"Top order Batter","West Indies",Zimbabwe,"2022-10-19 00:00:00",Qualifier,,"Brandon King got his start as a solid middle-order batter for Jamaica before a promotion to the top order in the CPL unlocked his power-hitting potential, and culminated in a call-up to West Indies' white-ball side."
"T20I # 1826","West Indies","Brandon King","Right hand Bat",,"Top order Batter",Scotland,"West Indies","2022-10-17 00:00:00",Qualifier,,"Brandon King got his start as a solid middle-order batter for Jamaica before a promotion to the top order in the CPL unlocked his power-hitting potential, and culminated in a call-up to West Indies' white-ball side."
"T20I # 1838",Scotland,"Calum MacLeod","Right hand Bat","Right arm Medium fast, Right arm Offbreak","Top order Batter",Scotland,Zimbabwe,"2022-10-21 00:00:00",Qualifier,,"Calum MacLeod won a place in Scottish sport folklore when he struck a century that helped Scotland beat the world's No. 1 ODI side at the time, England, in a game in Edinburgh in 2018. That year, he also produced an unbeaten 157 against Afghanistan in a World Cup Qualifier match in Bulawayo, where he expertly dealt with legspinner Rashid Khan, liberally employing a sweep shot that he put down to his time spent playing hockey."
"T20I # 1833",Scotland,"Calum MacLeod","Right hand Bat","Right arm Medium fast, Right arm Offbreak","Top order Batter",Ireland,Scotland,"2022-10-19 00:00:00",Qualifier,,"Calum MacLeod won a place in Scottish sport folklore when he struck a century that helped Scotland beat the world's No. 1 ODI side at the time, England, in a game in Edinburgh in 2018. That year, he also produced an unbeaten 157 against Afghanistan in a World Cup Qualifier match in Bulawayo, where he expertly dealt with legspinner Rashid Khan, liberally employing a sweep shot that he put down to his time spent playing hockey."
"T20I # 1826",Scotland,"Calum MacLeod","Right hand Bat","Right arm Medium fast, Right arm Offbreak","Top order Batter",Scotland,"West Indies","2022-10-17 00:00:00",Qualifier,,"Calum MacLeod won a place in Scottish sport folklore when he struck a century that helped Scotland beat the world's No. 1 ODI side at the time, England, in a game in Edinburgh in 2018. That year, he also produced an unbeaten 157 against Afghanistan in a World Cup Qualifier match in Bulawayo, where he expertly dealt with legspinner Rashid Khan, liberally employing a sweep shot that he put down to his time spent playing hockey."
"T20I # 1864",Australia,"Cameron Green","Right hand Bat","Right arm Fast medium","Batting Allrounder",Australia,Afghanistan,"2022-11-04 00:00:00","Super 12",,"Contracted to Western Australia as a schoolboy, Cameron Green took 5 for 24 on first-class debut against Tasmania in February 2017 as a 17-year-old. He was selected initially for his bowling given his 200cm frame and his ability to deliver fast outswing but was plagued by stress fractures. However, throughout his junior days with Subiaco-Floreat and WA's junior teams his technically sound batting and an unquenchable thirst for scoring runs saw him emerge as a genuine allrounder of rare ability."
