match_id,team,name,battingStyle,bowlingStyle,playingRole,team1,team2,matchDate,stage,image,description
"T20I # 1849b",England,"Adil Rashid","Right hand Bat",Legbreak,Bowler,Australia,England,"2022-10-28 00:00:00","Super 12",,"Adil Rashid did much to set right English cricket's troubled relationship with legspin when he established himself as the country's leading white-ball spinner in 2015 and four years later was a key part of their World Cup-winning side. At the time of Rashid's recall to the limited-overs set-up in 2015, no legspinner had taken more than five white-ball wickets for England; over the next six years, Rashid took more than 200."
"T20I # 1846",England,"Adil Rashid","Right hand Bat",Legbreak,Bowler,England,Ireland,"2022-10-26 00:00:00","Super 12",,"Adil Rashid did much to set right English cricket's troubled relationship with legspin when he established himself as the country's leading white-ball spinner in 2015 and four years later was a key part of their World Cup-winning side. At the time of Rashid's recall to the limited-overs set-up in 2015, no legspinner had taken more than five white-ball wickets for England; over the next six years, Rashid took more than 200."
"T20I # 1840",England,"Adil Rashid","Right hand Bat",Legbreak,Bowler,Afghanistan,England,"2022-10-22 00:00:00","Super 12",,"Adil Rashid did much to set right English cricket's troubled relationship with legspin when he established himself as the country's leading white-ball spinner in 2015 and four years later was a key part of their World Cup-winning side. At the time of Rashid's recall to the limited-overs set-up in 2015, no legspinner had taken more than five white-ball wickets for England; over the next six years, Rashid took more than 200."
"T20I # 1872",Bangladesh,"Afif Hossain","Left hand Bat","Right arm Offbreak",Allrounder,Bangladesh,Pakistan,"2022-11-06 00:00:00","Super 12",,"Bangladesh left-hander Afif Hossain made his T20I debut in 2017 and impressed right away in his second game with a 26-ball 52 at No. 8 in a narrow win over Zimbabwe. He took a while to get going after that, although his T20I captain Mahmudullah praised his maturity during a tricky innings on a turning Mirpur pitch. In February 2022 in Chattogram, 22-year-old Afif rescued Bangladesh from 45 for 6 in a record stand with Mehidy Hasan Miraz against Afghanistan - they added an unbeaten 174, the second-highest partnership for the seventh wicket or lower in ODIs. Afif is also the youngest T20 debutant to take a five-for - he was 17 years and 72 days when he picked up 5 for 21, including the wicket of Chris Gayle, for Rajshahi Kings against Chittagong Vikings in December 2016."
"T20I # 1860",Bangladesh,"Afif Hossain","Left hand Bat","Right arm Offbreak",Allrounder,Bangladesh,India,"2022-11-02 00:00:00","Super 12",,"Bangladesh left-hander Afif Hossain made his T20I debut in 2017 and impressed right away in his second game with a 26-ball 52 at No. 8 in a narrow win over Zimbabwe. He took a while to get going after that, although his T20I captain Mahmudullah praised his maturity during a tricky innings on a turning Mirpur pitch. In February 2022 in Chattogram, 22-year-old Afif rescued Bangladesh from 45 for 6 in a record stand with Mehidy Hasan Miraz against Afghanistan - they added an unbeaten 174, the second-highest partnership for the seventh wicket or lower in ODIs. Afif is also the youngest T20 debutant to take a five-for - he was 17 years and 72 days when he picked up 5 for 21, including the wicket of Chris Gayle, for Rajshahi Kings against Chittagong Vikings in December 2016."
"T20I # 1851",Bangladesh,"Afif Hossain","Left hand Bat","Right arm Offbreak",Allrounder,Bangladesh,Zimbabwe,"2022-10-30 00:00:00","Super 12",,"Bangladesh left-hander Afif Hossain made his T20I debut in 2017 and impressed right away in his second game with a 26-ball 52 at No. 8 in a narrow win over Zimbabwe. He took a while to get going after that, although his T20I captain Mahmudullah praised his maturity during a tricky innings on a turning Mirpur pitch. In February 2022 in Chattogram, 22-year-old Afif rescued Bangladesh from 45 for 6 in a record stand with Mehidy Hasan Miraz against Afghanistan - they added an unbeaten 174, the second-highest partnership for the seventh wicket or lower in ODIs. Afif is also the youngest T20 debutant to take a five-for - he was 17 years and 72 days when he picked up 5 for 21, including the wicket of Chris Gayle, for Rajshahi Kings against Chittagong Vikings in December 2016."
"T20I # 1847",Bangladesh,"Afif Hossain","Left hand Bat","Right arm Offbreak",Allrounder,Bangladesh,"South Africa","2022-10-27 00:00:00","Super 12",,"Bangladesh left-hander Afif Hossain made his T20I debut in 2017 and impressed right away in his second game with a 26-ball 52 at No. 8 in a narrow win over Zimbabwe. He took a while to get going after that, although his T20I captain Mahmudullah praised his maturity during a tricky innings on a turning Mirpur pitch. In February 2022 in Chattogram, 22-year-old Afif rescued Bangladesh from 45 for 6 in a record stand with Mehidy Hasan Miraz against Afghanistan - they added an unbeaten 174, the second-highest partnership for the seventh wicket or lower in ODIs. Afif is also the youngest T20 debutant to take a five-for - he was 17 years and 72 days when he picked up 5 for 21, including the wicket of Chris Gayle, for Rajshahi Kings against Chittagong Vikings in December 2016."
"T20I # 1843",Bangladesh,"Afif Hossain","Left hand Bat","Right arm Offbreak",Allrounder,Bangladesh,Netherlands,"2022-10-24 00:00:00","Super 12",,"Bangladesh left-hander Afif Hossain made his T20I debut in 2017 and impressed right away in his second game with a 26-ball 52 at No. 8 in a narrow win over Zimbabwe. He took a while to get going after that, although his T20I captain Mahmudullah praised his maturity during a tricky innings on a turning Mirpur pitch. In February 2022 in Chattogram, 22-year-old Afif rescued Bangladesh from 45 for 6 in a record stand with Mehidy Hasan Miraz against Afghanistan - they added an unbeaten 174, the second-highest partnership for the seventh wicket or lower in ODIs. Afif is also the youngest T20 debutant to take a five-for - he was 17 years and 72 days when he picked up 5 for 21, including the wicket of Chris Gayle, for Rajshahi Kings against Chittagong Vikings in December 2016."
"T20I # 1836",U.A.E.,"Ahmed Raza","Right hand Bat","Slow Left arm Orthodox",Bowler,Namibia,U.A.E.,"2022-10-20 00:00:00",Qualifier,,"Six-foot-five Ahmed Raza is best known for his economical spells of left-arm spin. In a must-win World Cricket Division Two game for UAE against Oman in 2018, he conceded only 16 runs in nine overs for two wickets, and in an Asia Cup match against Oman in 2016, he took 1 for 6 from three overs."
"T20I # 1832",U.A.E.,"Ahmed Raza","Right hand Bat","Slow Left arm Orthodox",Bowler,"Sri Lanka",U.A.E.,"2022-10-18 00:00:00",Qualifier,,"Six-foot-five Ahmed Raza is best known for his economical spells of left-arm spin. In a must-win World Cricket Division Two game for UAE against Oman in 2018, he conceded only 16 runs in nine overs for two wickets, and in an Asia Cup match against Oman in 2016, he took 1 for 6 from three overs."
